Linux 2.6.32.43-tlinux-1.0.8-state (TENCENT64.site) 	12/19/18 	_x86_64_	(24 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:01        all      7.36      0.01      9.64      0.99      0.00     82.00
00:20:01        all      7.13      0.01      7.57      0.98      0.00     84.31
00:30:01        all      7.85      0.01      7.70      1.28      0.00     83.17
00:40:01        all      7.17      0.01      7.55      0.98      0.00     84.30
00:50:01        all      7.16      0.01      7.34      1.00      0.00     84.49
01:00:01        all      7.21      0.01      7.18      1.08      0.00     84.51
01:10:01        all      7.14      0.01      6.98      0.99      0.00     84.87
01:20:01        all      7.44      0.22      7.84      1.02      0.00     83.48
01:30:01        all      7.14      0.00      7.80      1.30      0.00     83.76
01:40:02        all      7.23      0.00      7.06      0.99      0.00     84.71
01:50:01        all      7.14      0.01      7.17      1.03      0.00     84.64
02:00:01        all      7.09      0.01      6.84      1.01      0.00     85.05
02:10:01        all      7.12      0.01      7.45      1.06      0.00     84.36
02:20:01        all      6.98      0.01      7.38      0.99      0.00     84.65
02:30:01        all      7.04      0.01      8.92      1.18      0.00     82.85
02:40:01        all      7.24      0.01      8.97      0.90      0.00     82.89
02:50:01        all      7.00      0.01      7.86      1.04      0.00     84.09
03:00:01        all      6.98      0.01      8.05      1.06      0.00     83.89
03:10:01        all      7.01      0.01      7.23      0.98      0.00     84.77
03:20:01        all      6.91      0.01      7.11      0.99      0.00     84.98
03:30:01        all      7.20      0.01      7.52      1.16      0.00     84.11
03:40:01        all      7.42      0.01      9.43      0.98      0.00     82.17
03:50:01        all      7.11      0.01      8.38      1.10      0.00     83.41
04:00:01        all      6.88      0.01      6.79      1.05      0.00     85.28
04:10:01        all      6.92      0.01      7.42      1.04      0.00     84.60
04:20:01        all      7.84      0.01      7.57      1.07      0.00     83.50
04:30:01        all      7.19      0.01      8.86      1.25      0.00     82.69
04:40:01        all      7.19      0.01      9.67      0.92      0.00     82.21
04:50:01        all      6.97      0.01      7.18      1.06      0.00     84.79
05:00:01        all      7.03      0.01      7.13      1.10      0.00     84.73
05:10:01        all      7.09      0.01      7.16      1.01      0.00     84.73
05:20:01        all      7.12      0.01      7.29      1.06      0.00     84.52
05:30:01        all      7.18      0.01      7.03      1.21      0.00     84.56
05:40:01        all      7.23      0.01      7.14      1.00      0.00     84.61
05:50:01        all      7.07      0.01      7.19      1.03      0.00     84.70
06:00:01        all      6.81      0.01      9.61      0.93      0.00     82.64
06:10:01        all      7.12      0.01      9.15      1.02      0.00     82.70
06:20:01        all      7.13      0.01      9.57      0.98      0.00     82.31
06:30:01        all      7.20      0.01      8.86      1.23      0.00     82.71
06:40:01        all      7.38      0.01      9.48      1.06      0.00     82.07
06:50:01        all      7.22      0.01      7.19      1.04      0.00     84.54
07:00:01        all      7.34      0.01      7.68      1.11      0.00     83.87
07:10:01        all      7.04      0.01      7.64      1.02      0.00     84.29
07:20:01        all      7.18      0.01      8.03      1.03      0.00     83.75
07:30:01        all      7.16      0.01      8.10      1.38      0.00     83.36
07:40:01        all      7.36      0.01      8.42      1.03      0.00     83.19
07:50:01        all      7.04      0.01      9.68      0.93      0.00     82.35
08:00:01        all      7.23      0.01      8.32      1.03      0.00     83.42
08:10:01        all      7.11      0.01      8.49      0.99      0.00     83.40
08:20:01        all      7.15      0.01      7.14      0.98      0.00     84.71
08:30:01        all      7.26      0.01      9.31      1.10      0.00     82.33
08:40:02        all      7.22      0.01      7.27      1.03      0.00     84.47
08:50:01        all      7.31      0.01      7.33      1.05      0.00     84.29
09:00:01        all      7.46      0.17      7.67      1.09      0.00     83.60
09:10:01        all      7.80      0.39      7.62      1.09      0.00     83.09
09:20:01        all      7.44      0.00      7.87      1.10      0.00     83.58
09:30:01        all      7.36      0.00      6.90      1.33      0.00     84.41
09:40:01        all      7.90      0.64      9.18      1.06      0.00     81.22
09:50:01        all      8.28      0.13      8.06      0.99      0.00     82.55
10:00:01        all      7.26      0.00      7.68      1.15      0.00     83.91
10:10:01        all      7.25      0.00      7.01      1.13      0.00     84.62
10:20:01        all      8.86      0.69      8.28      0.98      0.00     81.20
10:30:01        all      8.60      0.00      7.14      1.35      0.00     82.90
10:40:01        all      8.65      0.00      6.96      1.09      0.00     83.30
10:50:01        all      9.05      0.57      8.18      0.98      0.00     81.22
11:00:01        all      8.23      0.00      7.90      1.13      0.00     82.74
11:10:01        all      7.95      0.00      7.75      1.03      0.00     83.26
11:20:01        all      7.83      0.49      8.28      0.99      0.00     82.41
11:30:01        all      8.05      2.46      7.07      1.22      0.00     81.19
11:40:01        all      7.61      0.64      6.74      1.16      0.00     83.85
11:50:01        all      8.49      1.28      7.82      1.07      0.00     81.34
12:00:01        all      9.33      0.20      8.86      1.21      0.00     80.40
12:10:01        all      7.86      0.00      8.08      1.05      0.00     83.02
12:20:01        all      8.53      0.00      6.74      1.10      0.00     83.62
12:30:01        all      8.30      0.61      7.13      1.22      0.00     82.74
12:40:01        all      7.91      0.09      7.87      1.08      0.00     83.04
12:50:01        all     10.24      0.84      9.07      1.06      0.00     78.78
13:00:02        all     11.59      0.01      7.66      1.01      0.00     79.72
13:10:01        all     10.17      0.40      7.61      1.08      0.00     80.74
13:20:01        all      7.98      0.12      7.43      1.18      0.00     83.30
13:30:01        all      7.71      0.00      9.96      1.31      0.00     81.01
13:40:01        all      7.47      0.00      6.97      1.11      0.00     84.44
13:50:01        all      7.71      0.49      7.46      1.08      0.00     83.25
14:00:01        all      8.08      0.00      7.85      1.00      0.00     83.07
14:10:01        all      8.10      0.00      8.86      1.07      0.00     81.97
14:20:01        all      9.32      1.58      7.15      1.05      0.00     80.90
14:30:01        all      9.14      0.57      7.48      1.28      0.00     81.53
14:40:01        all      8.11      0.00      6.96      1.22      0.00     83.71
14:50:01        all      8.90      0.74      6.51      1.17      0.00     82.67
15:00:01        all      8.05      0.00      8.19      1.13      0.00     82.63
15:10:01        all      8.74      0.00      6.26      1.16      0.00     83.83
15:20:01        all      8.38      0.45      8.03      1.05      0.00     82.10
15:30:01        all      8.82      0.06      8.74      1.25      0.00     81.14
15:40:01        all      8.26      0.00      7.20      1.06      0.00     83.48
15:50:01        all      9.09      0.26      7.38      1.25      0.00     82.02
16:00:01        all     10.14      0.34      7.40      1.20      0.00     80.92
16:10:01        all      8.86      0.00      8.20      1.12      0.00     81.81
16:20:01        all      8.31      0.00      7.78      1.13      0.00     82.77
16:30:01        all      9.53      1.63      7.80      1.43      0.00     79.60
16:40:01        all      8.41      2.89      7.56      1.16      0.00     79.97
16:50:01        all      8.77      1.21      7.36      1.15      0.00     81.50
17:00:01        all      9.10      0.34      9.33      1.21      0.00     80.02
17:10:01        all      8.84      0.00      8.23      1.09      0.00     81.84
17:20:01        all      8.15      0.00      7.21      1.19      0.00     83.45
17:30:01        all     10.20      2.65      7.54      1.37      0.00     78.24
17:40:01        all     11.72      3.91      8.97      1.04      0.00     74.37
17:50:01        all     11.98      3.91      7.12      1.13      0.00     75.87
18:00:01        all     10.36      3.86      7.53      1.20      0.00     77.06
18:10:01        all      7.80      1.68      7.56      1.12      0.00     81.85
18:20:01        all      7.51      1.39      7.16      1.10      0.00     82.83
18:30:01        all      8.80      0.33      7.95      1.36      0.00     81.56
18:40:01        all      8.42      0.00      6.74      1.09      0.00     83.75
18:50:01        all      8.62      0.00      6.77      1.05      0.00     83.56
19:00:01        all      9.52      1.32      8.76      1.24      0.00     79.17
19:10:01        all      9.71      0.44      9.42      0.93      0.00     79.51
19:20:01        all      7.66      0.00      8.31      1.04      0.00     83.00
19:30:01        all      8.11      0.00      7.47      1.30      0.00     83.12
19:40:01        all      7.68      0.25      7.13      1.15      0.00     83.78
19:50:01        all      8.22      0.00      7.35      1.17      0.00     83.26
20:00:01        all      8.48      0.00      7.67      1.09      0.00     82.75
20:10:01        all      8.13      0.57      9.22      1.08      0.00     81.00
20:20:01        all      7.41      0.38      8.46      1.01      0.00     82.74
20:30:01        all      7.60      0.80      8.40      1.22      0.00     81.98
20:40:01        all      8.44      0.32      7.51      1.28      0.00     82.45
20:50:01        all      7.26      0.00      7.22      1.11      0.00     84.42
21:00:01        all      7.51      0.00      8.08      1.14      0.00     83.27
21:10:01        all      7.48      0.20      9.22      1.00      0.00     82.11
21:20:01        all      7.74      0.00      8.19      1.14      0.00     82.93
21:30:01        all      7.46      0.00      8.00      1.22      0.00     83.32
21:40:01        all      7.54      0.13      7.80      1.09      0.00     83.45
21:50:01        all      8.04      0.10      9.19      1.00      0.00     81.67
22:00:01        all      7.37      0.00      9.98      1.03      0.00     81.62
22:10:01        all      7.52      0.00      9.81      0.97      0.00     81.70
22:20:01        all      7.33      0.04      7.68      1.24      0.00     83.71
22:30:01        all      7.37      0.01      8.56      1.19      0.00     82.88
22:40:01        all      7.46      0.01      8.00      1.09      0.00     83.44
22:50:01        all      7.72      0.58      8.08      1.06      0.00     82.56
23:00:01        all      7.37      0.01     10.04      1.05      0.00     81.54
23:10:01        all      7.35      0.01      9.05      1.06      0.00     82.54
23:20:01        all      7.32      0.01      8.08      1.08      0.00     83.52
23:30:01        all      7.48      0.01      8.40      1.27      0.00     82.85
23:40:01        all      7.30      0.01      7.63      1.12      0.00     83.94
23:50:01        all      7.35      0.01      7.90      1.10      0.00     83.64
07:20:01        all      0.24      0.00      0.39      0.00      0.00     99.37
07:30:01        all      0.23      0.00      0.37      0.00      0.00     99.39
07:40:01        all      0.28      0.00      0.37      0.00      0.00     99.35
07:50:02        all      0.22      0.00      0.37      0.00      0.00     99.40
08:00:01        all      0.24      0.00      0.37      0.00      0.00     99.40
08:10:01        all      0.39      0.00      0.39      0.00      0.00     99.22
08:20:01        all      0.26      0.00      0.36      0.00      0.00     99.37
08:30:01        all      0.23      0.00      0.38      0.00      0.00     99.38
08:40:01        all      0.28      0.00      0.39      0.01      0.00     99.31
08:50:01        all      0.23      0.00      0.41      0.00      0.00     99.36
09:00:01        all      0.23      0.00      0.39      0.00      0.00     99.37
09:10:01        all      0.40      0.00      0.41      0.00      0.00     99.18
09:20:01        all      0.23      0.00      0.40      0.00      0.00     99.37
09:30:01        all      0.25      0.00      0.40      0.00      0.00     99.34
09:40:01        all      0.30      0.00      0.41      0.00      0.00     99.29
09:50:01        all      0.24      0.00      0.40      0.00      0.00     99.36
10:00:01        all      0.23      0.00      0.39      0.00      0.00     99.37
10:10:01        all      0.40      0.00      0.40      0.00      0.00     99.19
10:20:01        all      0.22      0.00      0.37      0.00      0.00     99.40
10:30:01        all      0.27      0.00      0.38      0.00      0.00     99.34
10:40:01        all      0.22      0.00      0.36      0.00      0.00     99.41
10:50:01        all      0.22      0.00      0.37      0.00      0.00     99.40
11:00:01        all      0.26      0.00      0.38      0.00      0.00     99.36
11:10:01        all      0.39      0.00      0.39      0.00      0.00     99.22
11:20:01        all      0.23      0.00      0.37      0.00      0.00     99.40
11:30:01        all      0.28      0.00      0.37      0.00      0.00     99.34
11:40:01        all      0.23      0.00      0.37      0.00      0.00     99.39
11:50:01        all      0.24      0.00      0.38      0.00      0.00     99.38
12:00:01        all      0.24      0.00      0.38      0.00      0.00     99.38
12:10:01        all      0.45      0.00      0.40      0.00      0.00     99.15
12:20:01        all      0.22      0.00      0.36      0.00      0.00     99.42
12:30:01        all      0.27      0.00      0.38      0.00      0.00     99.35
12:40:01        all      0.23      0.00      0.38      0.00      0.00     99.39
12:50:01        all      0.23      0.00      0.38      0.00      0.00     99.39
13:00:01        all      0.24      0.00      0.39      0.00      0.00     99.36
13:10:02        all      0.40      0.00      0.40      0.00      0.00     99.19
13:20:01        all      0.24      0.00      0.40      0.00      0.00     99.35
13:30:01        all      0.32      0.00      0.41      0.00      0.00     99.27
13:40:01        all      0.24      0.00      0.41      0.00      0.00     99.35
13:50:01        all      0.24      0.00      0.40      0.00      0.00     99.36
14:00:01        all      0.24      0.00      0.41      0.00      0.00     99.35
14:10:01        all      0.40      0.00      0.41      0.00      0.00     99.18
14:20:01        all      0.23      0.00      0.38      0.00      0.00     99.38
14:30:01        all      0.23      0.00      0.39      0.00      0.00     99.37
14:40:01        all      0.28      0.00      0.39      0.00      0.00     99.32
14:50:01        all      0.23      0.00      0.40      0.00      0.00     99.37
15:00:01        all      0.26      0.00      0.41      0.00      0.00     99.33
15:10:01        all      0.40      0.00      0.41      0.00      0.00     99.19
15:20:01        all      0.24      0.00      0.40      0.00      0.00     99.36
15:30:01        all      0.23      0.00      0.40      0.00      0.00     99.37
15:40:01        all      0.27      0.00      0.39      0.00      0.00     99.33
15:50:01        all      0.23      0.00      0.39      0.00      0.00     99.37
16:00:01        all      0.27      0.00      0.39      0.00      0.00     99.34
16:10:01        all      0.39      0.00      0.42      0.00      0.00     99.19
16:20:01        all      0.32      0.00      0.41      0.00      0.00     99.27
16:30:01        all      0.24      0.00      0.39      0.00      0.00     99.37
16:40:01        all      0.28      0.00      0.38      0.00      0.00     99.34
16:50:01        all      0.23      0.00      0.40      0.00      0.00     99.37
17:00:01        all      0.23      0.00      0.39      0.00      0.00     99.37
17:10:01        all      0.34      0.00      0.40      0.02      0.00     99.25
17:20:01        all      0.32      0.00      0.41      0.00      0.00     99.26
17:30:01        all      0.24      0.00      0.40      0.00      0.00     99.36
17:40:01        all      0.28      0.00      0.39      0.00      0.00     99.32
17:50:01        all      0.23      0.00      0.38      0.00      0.00     99.39
18:00:01        all      0.23      0.00      0.36      0.00      0.00     99.40
18:10:01        all      0.25      0.00      0.38      0.00      0.00     99.37
18:20:01        all      0.35      0.00      0.37      0.00      0.00     99.28
18:30:01        all      0.23      0.00      0.39      0.01      0.00     99.37
18:40:01        all      0.31      0.00      0.39      0.00      0.00     99.29
18:50:01        all      0.27      0.00      0.39      0.00      0.00     99.33
19:00:01        all      0.28      0.00      0.39      0.00      0.00     99.32
19:10:01        all      0.26      0.00      0.40      0.00      0.00     99.33
19:20:01        all      0.38      0.00      0.38      0.01      0.00     99.22
19:30:01        all      0.23      0.00      0.38      0.00      0.00     99.38
19:40:01        all      0.28      0.00      0.37      0.00      0.00     99.35
19:50:01        all      0.22      0.00      0.38      0.00      0.00     99.40
20:00:01        all      0.23      0.00      0.37      0.00      0.00     99.40
20:10:01        all      0.27      0.00      0.37      0.00      0.00     99.36
20:20:01        all      0.38      0.00      0.38      0.00      0.00     99.24
