Linux 2.6.32.43-tlinux-1.0.8-default (TENCENT64.site) 	12/24/2018 	_x86_64_	(24 CPU)

12:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01        all      2.77      0.00      3.31      0.24      0.00     93.68
12:20:01        all      2.83      0.00      3.07      0.00      0.00     94.11
12:30:01        all      2.63      0.00      3.12      0.00      0.00     94.25
12:40:01        all      2.35      0.00      2.94      0.00      0.00     94.71
12:50:01        all      2.28      0.00      2.89      0.00      0.00     94.84
01:00:01        all      2.32      0.00      3.01      0.00      0.00     94.67
01:10:01        all      2.29      0.00      2.88      0.00      0.00     94.83
01:20:01        all      2.29      0.00      2.95      0.00      0.00     94.76
01:30:01        all      2.46      0.00      3.03      0.00      0.00     94.51
01:40:01        all      2.33      0.00      2.93      0.00      0.00     94.73
01:50:01        all      2.36      0.00      3.14      0.00      0.00     94.50
02:00:01        all      2.64      0.00      3.00      0.00      0.00     94.37
02:10:01        all      2.34      0.00      2.92      0.00      0.00     94.74
02:20:01        all      2.81      0.00      2.98      0.00      0.00     94.20
02:30:01        all      2.46      0.00      3.01      0.00      0.00     94.53
02:40:01        all      2.56      0.00      2.92      0.00      0.00     94.52
02:50:01        all      2.70      0.00      2.96      0.00      0.00     94.33
03:00:01        all      2.33      0.00      3.02      0.00      0.00     94.65
03:10:01        all      2.29      0.00      2.92      0.00      0.00     94.79
03:20:01        all      2.29      0.00      2.91      0.00      0.00     94.80
03:30:01        all      2.32      0.00      3.03      0.00      0.00     94.65
03:40:01        all      2.47      0.00      2.90      0.00      0.00     94.63
03:50:01        all      2.28      0.00      2.93      0.01      0.00     94.78
04:00:01        all      2.34      0.00      3.00      0.00      0.00     94.66
04:10:01        all      2.25      0.00      2.91      0.00      0.00     94.83
04:20:01        all      2.76      0.00      3.02      0.00      0.00     94.22
04:30:01        all      2.60      0.00      2.99      0.00      0.00     94.41
04:40:01        all      2.45      0.00      2.92      0.00      0.00     94.63
04:50:01        all      2.28      0.00      2.95      0.00      0.00     94.77
05:00:01        all      2.36      0.00      3.00      0.00      0.00     94.64
05:10:01        all      2.27      0.00      2.95      0.00      0.00     94.78
05:20:01        all      2.29      0.00      2.92      0.00      0.00     94.79
05:30:01        all      2.34      0.00      3.02      0.00      0.00     94.64
05:40:01        all      2.44      0.00      2.96      0.00      0.00     94.60
05:50:01        all      2.38      0.00      3.00      0.00      0.00     94.62
06:00:01        all      2.65      0.00      3.13      0.00      0.00     94.22
06:10:01        all      2.47      0.00      3.01      0.00      0.00     94.52
06:20:01        all      2.72      0.00      2.99      0.00      0.00     94.28
06:30:01        all      2.69      0.00      3.06      0.00      0.00     94.25
06:40:01        all      1.74      0.00      2.91      0.00      0.00     95.35
06:50:01        all      2.27      0.00      2.93      0.00      0.00     94.80
07:00:01        all      2.42      0.00      3.02      0.00      0.00     94.56
07:10:01        all      3.14      0.00      2.95      0.00      0.00     93.91
07:20:01        all      2.63      0.00      2.95      0.00      0.00     94.41
07:30:01        all      2.34      0.00      2.99      0.00      0.00     94.67
07:40:01        all      2.45      0.00      2.90      0.00      0.00     94.64
07:50:01        all      2.29      0.00      2.92      0.00      0.00     94.79
08:00:01        all      2.34      0.00      3.00      0.00      0.00     94.66
08:10:01        all      2.32      0.00      2.97      0.00      0.00     94.71
08:20:01        all      2.27      0.00      2.97      0.00      0.00     94.76
08:30:01        all      2.37      0.00      3.03      0.00      0.00     94.60
08:40:01        all      2.40      0.00      2.96      0.00      0.00     94.64
08:50:01        all      2.35      0.00      2.96      0.00      0.00     94.68
09:00:01        all      2.33      0.00      3.05      0.00      0.00     94.62
09:10:01        all      2.70      0.00      3.05      0.00      0.00     94.25
09:20:01        all      2.66      0.00      3.06      0.00      0.00     94.28
09:30:01        all      2.36      0.00      3.13      0.00      0.00     94.51
09:40:01        all      2.41      0.00      3.19      0.00      0.00     94.40
09:50:01        all      2.56      0.00      3.22      0.00      0.00     94.22
10:00:01        all      2.42      0.00      3.24      0.00      0.00     94.34
10:10:01        all      2.39      0.00      3.17      0.00      0.00     94.44
10:20:01        all      2.38      0.00      3.16      0.00      0.00     94.46
10:30:01        all      2.48      0.00      3.24      0.00      0.00     94.28
10:40:01        all      2.43      0.00      3.23      0.00      0.00     94.34
